,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,24,1894,800.0,8242
1,1,0,4.1,787,1,24,816,800.0,8242
2,1,0,3.8,918,1,19,653,800.0,8242
3,0,0,3.7,88,1,73,2221,300.0,8242
4,0,0,3.8,166,4,24,1921,600.0,8242
5,1,0,3.8,286,4,24,1585,600.0,8242
6,0,0,3.6,8,56,24,1938,800.0,8242
7,1,1,4.6,2556,1,26,2028,600.0,8242
8,1,0,4.0,324,1,16,629,700.0,8242
9,1,0,4.2,504,1,16,654,550.0,8242
10,1,0,4.1,402,1,16,475,500.0,8242
11,1,1,4.2,150,1,16,629,600.0,8242
12,1,1,4.2,164,1,16,532,500.0,8242
13,0,0,4.0,424,1,16,538,450.0,8242
14,1,0,3.8,918,1,19,653,800.0,8242
15,1,0,3.8,90,1,16,475,650.0,8242
16,1,0,3.9,133,1,16,604,800.0,8242
17,1,0,3.8,144,1,16,720,700.0,8242
18,0,0,3.9,93,1,16,623,300.0,8242
19,1,0,3.1,13,1,16,532,400.0,8242
20,1,0,3.0,62,1,16,611,400.0,8242
21,1,0,3.7,180,1,16,668,500.0,8242
22,0,0,3.6,28,1,16,597,900.0,8242
23,1,0,3.6,62,1,76,1341,600.0,8242
24,0,0,3.7,31,1,16,475,300.0,8242
25,0,0,3.2,11,1,16,496,600.0,8242
26,1,0,3.8,75,1,23,680,200.0,8242
27,0,0,3.3,4,1,16,598,500.0,8242
28,0,0,3.3,23,1,16,597,550.0,8242
29,0,0,3.8,148,4,26,1646,550.0,8242
30,1,0,4.0,219,4,16,622,600.0,8242
31,1,0,2.8,506,1,73,1827,500.0,8242
32,1,0,3.9,35,1,36,230,500.0,2640
33,1,0,3.9,172,1,36,2018,750.0,8242
34,1,0,4.2,415,1,73,1637,500.0,2750
35,1,0,3.9,230,1,36,333,650.0,8242
36,1,0,2.8,91,1,73,1700,400.0,8242
37,1,0,4.2,1647,1,24,845,600.0,8242
38,1,0,4.4,4884,31,24,1915,750.0,8242
39,1,0,4.0,17,1,73,2149,150.0,828
40,1,0,3.8,133,4,73,2295,200.0,8242
41,0,0,3.9,28,1,62,2149,300.0,8242
42,1,0,3.9,286,1,73,457,500.0,8242
43,1,0,3.9,540,1,73,2034,800.0,8242
44,1,1,4.6,2556,1,26,2028,600.0,8242
45,0,0,3.8,36,1,36,1805,400.0,8242
46,1,0,3.6,244,48,73,1649,300.0,252
47,1,0,4.0,804,48,24,1679,450.0,7686
48,1,0,3.7,679,67,24,839,850.0,8242
49,1,0,3.1,245,48,73,1733,300.0,7645
50,0,0,3.7,21,1,73,1585,450.0,8242
51,1,0,4.1,28,86,73,1200,150.0,8109
52,0,0,4.3,345,1,37,1302,400.0,8242
53,1,0,4.0,618,31,24,404,750.0,8242
54,0,0,4.0,1047,1,73,1336,450.0,8242
55,1,0,3.9,627,1,36,1256,450.0,14
56,1,0,3.8,104,1,73,366,300.0,8242
57,1,1,4.2,354,1,24,190,800.0,8242
58,0,0,3.6,55,1,73,1114,200.0,8242
59,1,0,3.7,17,1,37,1041,400.0,8242
60,0,0,4.2,244,1,24,1356,800.0,8242
61,1,1,3.6,163,48,24,1246,800.0,8242
62,1,0,3.8,58,4,73,700,150.0,8242
63,0,1,4.0,808,1,24,1649,850.0,8242
64,0,0,3.7,78,1,3,222,150.0,8242
65,1,0,4.1,1720,4,73,1860,400.0,8242
66,1,0,3.6,34,31,73,2149,100.0,7212
67,0,0,4.1,868,1,68,958,1200.0,8242
68,0,0,3.8,39,1,0,230,300.0,8242
69,1,0,3.2,71,4,73,458,600.0,8242
70,1,0,3.6,6,1,86,1351,500.0,8242
71,0,0,4.1,520,1,73,355,300.0,8242
72,0,0,2.9,84,1,36,727,700.0,8242
73,0,0,3.6,299,1,73,1185,300.0,8242
74,1,0,4.1,558,4,73,2149,150.0,832
75,1,0,3.6,28,1,73,429,300.0,8242
76,0,0,3.7,22,1,73,1092,500.0,8242
77,0,0,3.8,39,1,73,2184,350.0,8242
78,1,0,3.8,153,86,46,2136,500.0,8242
79,1,0,4.2,146,1,11,291,400.0,8242
80,0,0,3.5,14,1,83,1531,200.0,8242
